checklist,section,item,critical,guidance
design,Screens,"Screens placed against the aquifer horizon with a slot size that retains the formation",yes,"Quick check: rub an aquifer sand sample against the screen; fines should pass and coarse grains be retained."
design,Screens,"Screen open area sufficient for the design yield (open area of at least Q/30 square metres keeps the entrance velocity below 0.03 m/s)",no,
design,Annulus,"Gravel pack placed as designed and free of mica, clay and laterite",yes,"For fine formations the pack to aquifer D50 ratio should be between 4 and 6."
design,Annulus,"Backfill placed to 6 m below ground and the sanitary seal in the top 6 m (cement slurry at 25 litres of water per 50 kg bag, or bentonite)",yes,
development,Development,"Development continued until the water runs clear and sand free, checked by letting samples settle in a clear container",yes,"Some holes clear in hours, some take days; months of pumping to clear indicates the wrong technique was used."
development,Testing,"Pumping test carried out to specification with rate and water level measured simultaneously against time",yes,"Constant discharge test always; at least a 4 step test for motorised wells; 3 to 6 hours is adequate for a handpump."
development,Acceptance,"Sand content at the end of the test no more than 0.2 cubic centimetres in each of three 20 litre samples (10 ppm by volume)",yes,
development,Acceptance,"Turbidity within the stipulated limit",no,"Where excessive turbidity is an aquifer characteristic it is beyond the driller's control."
development,Acceptance,"Plumb test passed: the plumb moves freely and deviation does not exceed two thirds of the casing inner diameter per 30 m of depth",yes,
development,Quality,"Water sampled correctly (1 litre bottle rinsed and labelled; pH, conductivity, iron and bacteriology tested at or near the site) and sent to an approved laboratory",yes,
development,Quality,"Borehole disinfected with chlorine at 20 mg per litre (1 litre of 0.2 percent solution per 100 litres of well volume) and left for at least 4 hours",yes,
development,Platform,"Platform cast correctly: shuttering anchored, 1:2:4 mix, 1:50 drainage slope, surface trowelled smooth, borehole number and completion data embedded, kept moist for 72 hours",no,
development,Decision,"Final decision recorded: borehole successful or abortive",yes,
demobilisation,Completion,"All installation work complete and approved by the supervisor",no,
demobilisation,Completion,"All testing complete and the documentation and data handed to the supervisor",yes,
demobilisation,Site,"Site cleared: waste removed responsibly, circulation pits backfilled and compacted, barrier tape removed, site restored to its former state",no,
demobilisation,Site,"Unused materials handled according to the contract and the borehole securely capped",no,
demobilisation,Certificate,"Work completion certificate issued by the supervisor",yes,
handover,Reporting,"Drilling report completed with copies to the client, the community and the government regulator",yes,"Data from dry or aborted holes must also be reported."
handover,Handover,"Handover date agreed and the certificate signed by the supervisor, the driller and a community representative",yes,
handover,Follow up,"Defect liability monitoring schedule agreed and site visits planned",no,
handover,Follow up,"Problems found during the defect liability period reported to the client and repairs mobilised according to the contract",no,
handover,Payment,"Supervision invoice submitted and final payment to the driller approved at the end of the defect liability period",no,
post_construction,Water safety,"Groundwater pH tested before handpump installation; corrosion resistant riser pipes and rods (stainless steel 304/316 or uPVC) used where pH is below 6.5",yes,"Galvanised iron risers can fail within 3 months to 2 years in corrosive water and shed iron and heavy metals into the supply."
post_construction,Water safety,"Sanitary inspection of the completed water point carried out (WHO sanitary inspection format)",no,
post_construction,Monitoring,"Water users have a way to report technical problems during the first one to two years",no,
post_construction,Monitoring,"Third party inspection of the works arranged within 6 months of construction",no,"Independent inspection with follow up action is the strongest incentive for construction quality."
post_construction,Monitoring,"Post construction monitoring visit one to two years after construction, including a repeat water quality test",no,"A failure within the first one to two years usually points to a design, construction or installation defect."
post_construction,Records,"Drilling log, pumping test and water quality records submitted to the authority for successful and unsuccessful boreholes, and the water quality results shared with the community",yes,
